job_id,job_title,field_name,field_type,label,required,placeholder,options,selector
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),pt_user_fname,text,First Name,False,First Name,,"[name=""pt_user_fname""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),pt_user_lname,text,Last Name,False,Last Name,,"[name=""pt_user_lname""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),user_email,text,Email Address,False,Email Address,,"[name=""user_email""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),user_phone,tel,Phone Number,False,Phone Number,,#pt_user_phone_187481998
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),user_job_title,text,Current Job Title,False,Current Job Title,,"[name=""user_job_title""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),user_salary,text,Current Salary,False,Current Salary,,"[name=""user_salary""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),academic-level,select,Academic Level,False,Academic Level,,"[name=""academic-level""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),Age,select,Age,False,Age,,"[name=""Age""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),salary,text,salary,False,,,#salary83785
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),gender,select,Gender,False,Gender,,"[name=""gender""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),industry,select,Industry,False,Industry,,"[name=""industry""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),cand_woutreg_cv_file,file,cand_woutreg_cv_file,False,,,#cand_cv_filefield
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),cand_cover_letter,textarea,Cover Letter,False,Cover Letter,,"[name=""cand_cover_letter""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),candidate_apply_cover,file,candidate_apply_cover,False,,,"[name=""candidate_apply_cover""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),job_id,hidden,job_id,False,,,"[name=""job_id""]"
mitigation-documentation-specialist-hr87436,Mitigation Documentation Specialist - (HR87436),terms_cond_check,checkbox,terms_cond_check,False,,,"[name=""terms_cond_check""]"
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),pt_user_fname,text,First Name,False,First Name,,"[name=""pt_user_fname""]"
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),pt_user_lname,text,Last Name,False,Last Name,,"[name=""pt_user_lname""]"
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),user_email,text,Email Address,False,Email Address,,"[name=""user_email""]"
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),user_phone,tel,Phone Number,False,Phone Number,,#pt_user_phone_679618315
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),user_job_title,text,Current Job Title,False,Current Job Title,,"[name=""user_job_title""]"
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),user_salary,text,Current Salary,False,Current Salary,,"[name=""user_salary""]"
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),academic-level,select,Academic Level,False,Academic Level,,"[name=""academic-level""]"
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),Age,select,Age,False,Age,,"[name=""Age""]"
recruiter-skilled-trades-hr71598,Recruiter – Skilled Trades - (HR71598),salary,text,salary,False,,,#salary34393
